cust_id,cust_first_name,cust_last_name,cust_username,cust_password,cust_record_create_date,mag_id,mag_name,mag_cost,mag_record_status,mag_record_create_date,prof_cust_cont_id,prof_phone,prof_zip,prof_state,prof_city,prof_street_address,prof_contact_type,prof_record_update_stamp,prof_record_status,prof_start_date,prof_end_date,sub_id,sub_num_mags_mailed,sub_payment_completed,sub_start_date,sub_end_date,pay_id,pay_amount,pay_type,pay_date,pay_card_num,pay_card_code,pay_record_create_date,category,
101,Anthony,Buchanan,Y4vl-Anthony,9yNZ,2010-04-19,101,iron-era,19.89,0,2020-02-16,101,617-304-8676,20003,DC,Washington,421 1/2 6th Street Southeast,0,2014-11-13,0,2002-03-06,2018-04-06,101,2,0,2013-11-28,2018-08-09,101,19.69,0,2007-08-04,4556981166919580,1783,2013-01-15,history,
102,Aaron,Choi,Vl1N-Aaron,vA3+,2006-05-29,102,intractable-polarization,27.55,0,2003-07-20,102,918-557-8934,40211,KY,Louisville,3620 Colmar Drive,0,2011-11-10,0,2011-06-08,2014-09-26,102,2,0,2007-09-20,2005-06-20,102,36.6,0,2005-12-25,4929442492053800,4646,2003-12-06,physics_optics,
103,Dorothy,Sower,4ozR-Dorothy,f1Iy,2018-10-04,103,worried-timer,28.09,0,2009-03-13,103,976-619-1410,06040,CT,Manchester,60 Downey Drive,0,2017-02-20,0,2003-06-12,2018-02-11,103,16,0,2015-11-19,2003-05-01,103,27.06,0,2007-08-23,4485946624613501,1455,2021-08-22,web_development,
104,Mary,Godbolt,FC0b-Mary,tvj2dG,2002-09-17,104,canary-tom,14.47,0,2017-09-21,104,261-197-2781,31404,GA,Thunderbolt,2817 3rd Street,0,2012-08-24,0,2018-04-24,2008-02-03,104,14,0,2001-02-21,2004-06-05,104,50.15,0,2004-09-26,4929143041783323,0568,2002-02-03,cats,
105,Douglas,Lambert,16iK0-Douglas,<gHgr4,2014-03-08,105,rowdy-halite,18.38,0,2018-02-04,105,584-541-3756,37220,TN,Nashville,1054 Overton Lea Road,0,2004-08-08,0,2008-11-26,2013-09-30,105,12,0,2018-05-30,2015-02-28,105,70.57,0,2010-12-27,4024007170015480,8142,2001-07-16,minerals,
106,Shelly,Harper,aVW6u-Shelly,.Kv#S7,2005-07-06,106,burning-sky,19.15,0,2018-03-29,106,983-571-1612,05701,VT,Rutland,8 Elmwood Drive,0,2020-08-23,0,2017-08-19,2020-05-30,106,4,0,2013-09-08,2004-04-15,106,17.82,0,2010-04-24,4716117807295927,4125,2019-05-27,3d_graphics,
107,George,Brown,tW1N-George,6v9Z,2013-06-14,107,emerald-coconut,24.87,0,2001-06-25,107,819-562-2462,37217,TN,Nashville,306 Rural Hill Court,0,2002-03-28,0,2001-11-03,2006-07-29,107,5,0,2016-10-22,2004-06-17,107,95.09,0,2012-06-19,4556269659678388,2285,2006-08-16,fruit,
108,Alexander,Valencia,RK6Nj6-Alexander,JOk1,2003-11-25,108,frigid-title,11.21,0,2013-02-17,108,946-695-9758,99515,AK,Anchorage,11300 Lillian Lane,0,2005-12-19,0,2018-09-07,2002-11-13,108,8,0,2014-04-01,2021-10-16,108,82.61,0,2017-03-13,4929960053009929,7714,2008-11-02,web_development,
109,James,Nunez,Zs2A0-James,7^LkrX,2013-01-02,109,concentric-diamond,17.44,0,2013-06-26,109,551-517-2375,02301,MA,Brockton,9 Montello Street,0,2020-12-01,0,2016-11-23,2018-02-14,109,13,0,2016-08-28,2014-02-06,109,76.1,0,2001-05-14,4485695183114571,3857,2008-03-20,sports,
110,April,Frazier,VW?8r1-April,cKZv2Q,2009-01-15,110,brass-seed,22.57,0,2020-02-22,110,752-915-9757,94577,CA,San Leandro,2399 East 14th Street,0,2004-07-22,0,2017-07-16,2003-04-11,110,16,0,2001-12-25,2012-04-17,110,29.58,0,2005-09-07,4716758497550418,3100,2009-12-08,plants,
111,George,Williams,Z50h-George,V%#fZ2,2007-05-19,111,closed-guava,14.68,0,2019-07-03,111,188-376-1682,05472,VT,New Haven,386 Daniels Road,0,2014-10-03,0,2020-12-30,2013-05-24,111,13,0,2005-09-03,2009-03-11,111,99.13,0,2001-06-10,4916117869002094,5230,2008-11-25,fruit,
112,Virginia,Muller,Ef3B#w-Virginia,FE3q,2003-07-01,112,orange-nectarine,28.12,0,2007-10-04,112,887-795-9292,20019,DC,Washington,3325 Dix Street Northeast,0,2004-12-17,0,2013-09-09,2021-03-20,112,5,0,2021-02-15,2004-12-14,112,75.03,0,2007-07-30,4532984681142463,4175,2012-10-24,fruit,
113,Antonio,Gilligan,zhC6h-Antonio,Z9Fay,2009-03-23,113,andante-moat,20.95,0,2000-05-13,113,098-557-9192,20019,DC,Washington,832 51st Street Northeast,0,2009-12-22,0,2001-10-28,2012-04-12,113,0,0,2005-07-27,2014-02-28,113,15.38,0,2008-08-17,4831795695096513,7274,2014-02-06,fortifications,
